log_id,operation_type,changed_at,order_id,user_id,status,total_amount,updated_at
1,INSERT,2026-05-23 09:54:14.868210,1,101,Pending,120.5,2026-05-10 08:15:00
2,INSERT,2026-05-23 09:54:14.868210,2,102,Completed,450.0,2026-05-10 09:30:00
3,INSERT,2026-05-23 09:54:14.868210,3,103,Cancelled,75.99,2026-05-10 10:05:00
4,INSERT,2026-05-23 09:54:14.868210,4,104,Completed,999.99,2026-05-11 11:20:00
5,INSERT,2026-05-23 09:54:14.868210,5,105,Pending,210.75,2026-05-11 13:45:00
6,INSERT,2026-05-23 09:54:14.868210,6,101,Shipped,330.4,2026-05-12 14:10:00
7,INSERT,2026-05-23 09:54:14.868210,7,106,Completed,89.9,2026-05-12 15:25:00
8,INSERT,2026-05-23 09:54:14.868210,8,107,Pending,560.0,2026-05-13 16:50:00
9,INSERT,2026-05-23 09:54:14.868210,9,108,Returned,145.3,2026-05-14 18:00:00
10,INSERT,2026-05-23 09:54:14.868210,10,109,Completed,720.15,2026-05-15 19:35:00
